Tweet Date,Tweet Content,label_up5,label_up2,label_down5,label_down2,Close,label_up5_price,label_up2_price,label_down5_price,label_down2_price,RSI,ROC,Upper Barrier,Lower Barrier,Vertical Barrier,Label,Previous Label,group,Pred_Label,Pred_Conf
2015-01-01,blocked me thats my achievement still like bitcoin ser la patria la para bitcoin trust to sell on in the last there were exchange pair yielding ranging between and bitcoin btc new bitcoin hour high of how tech might save the world world meet bitcoin the year in bitcoin in two what based should do to respond to the third air disaster in year wow holy text book buy signal batman no silly via so far the reaction to the new article been mostly positive except some of the bitcoin crowd is just trying feverishly to insult me may integrate apple pay bitcoin for parking rise a the leader of crypto trend ever since we won the bitcoin bowl am to do so by law will be bitcoin auld syne someday block chain will break free from bitcoin to power distributed via happy new year better than bitcoin do you accept here is bitcoin tip via claim it here cryptocurrency exchange platform it never been so easy to use bitcoin wa an interesting year for bitcoin we re excited to see what in store happy new year to all smith shoe line via spare bitcoin evangelist from prison super now,False,False,False,False,314.89,False,False,False,False,1.0,0.9887210730599549,324.3367,305.44329999999997,5.0,Neutral,Neutral,3,Neutral,0.9430223107337952
2015-01-01,giant top bitcoin in by bitcoin how start are embracing bitcoin bitcoin for parking gold btc might allow parking ticket through apple pay and bitcoin bitcoin bitcoin is more than currency it chunk of pure capitalism and free market trade bitcoin one more step forward bitcoin one mo is the new prepare to rewrite everything more bitcoin headline news video on btc bitcoin current price btc bitcoin current price btc bitcoin you miss of the you don take invest in not in bitcoin or new york city bitcoin and apple pay for parking year bitcoin faucet new york city bitcoin and apple pay for parking how sweet too kind city cryptocurrency trading news bitcoin leaf on bearish note got parking ticket in city looking at apple pay bitcoin a way to pay technica super the more leverage you have to voice negative opinion re bitcoin the more leverage you have to manipulate the price in your bitcoin will buy you at island just up for free bitcoin wallet on try it new post in bitcoin in the ugly by el may integrate apple pay bitcoin for parking venture capital for bitcoin in bitcoin btc bitcoin we posted number of today,False,False,False,False,314.89,False,False,False,False,1.0,0.9887210730599549,324.3367,305.44329999999997,5.0,Neutral,Neutral,3,Neutral,0.9514325857162476
2015-01-01,accept here is bitcoin tip via claim it here cryptocurrency exchange platform it never been so easy to use bitcoin wa an interesting year for bitcoin we re excited to see what in store happy new year to all smith shoe line via spare bitcoin evangelist from prison super now providing easy way to add coin to your bitcoin faucet bitcoin hope the cryptocurrency booming bitcoin valuation volatile throughout bitcoin btc coming cant block it further helper of all of the bitcoin issue no en fin de bitcoin trust to sell on free bitcoin when buy seller the year in bitcoin in two bitcoin miss at million current price of bitcoin is smith shoe line crowd printing of bitcoin based print newspaper this will advertise our brick and bitcoin can be used to build amazing or just answer common need bitcoin remittance between hong and the btc bitcoin current price btc bitcoin current price btc bitcoin parking per year may integrate apple pay bitcoin for parking via happy new year to bitcoin community next year is big year for bitcoin in the last there were exchange pair yielding ranging between and bitcoin btc here is bitcoin tip via claim it,False,False,False,False,314.89,False,False,False,False,1.0,0.9887210730599549,324.3367,305.44329999999997,5.0,Neutral,Neutral,1,Neutral,0.9486402869224548
2015-01-01,btc bitcoin current price btc bitcoin parking per year may integrate apple pay bitcoin for parking via happy new year to bitcoin community next year is big year for bitcoin in the last there were exchange pair yielding ranging between and bitcoin btc here is bitcoin tip via claim it here becomes first major bitcoin trading to implement signature new bitcoin hour high of how start are embracing bitcoin how start are embracing bitcoin bitcoin casino play now over btc in poker more super the sma bitcoin exchange with eye for little referral program bitcoin trust to sell million you were wrong about bitcoin daily beast wall street journal bitcoin one more step forward the voice of the bitcoin or news hi ya my friend marketer who is interested in bitcoin to make some new professional you should follow her the year in bitcoin in two bitcoin get anonymous solidarity revolution don miss out your bitcoin tip about to expire collect with this link nye josh gaw site in response to expose on fraud bitcoin btc slipped below the year in bitcoin in two the year in bitcoin in two blo auld syne someday peer to peer review the state,False,False,False,False,314.89,False,False,False,False,1.0,0.9887210730599549,324.3367,305.44329999999997,5.0,Neutral,Neutral,4,Neutral,0.9527396559715271
2015-01-01,revolution don miss out your bitcoin tip about to expire collect with this link nye josh gaw site in response to expose on fraud bitcoin btc slipped below the year in bitcoin in two the year in bitcoin in two blo auld syne someday peer to peer review the state of academic bitcoin research got parking ticket in city looking at apple pay bitcoin a way to pay via new year bet flip coin bitcoin from how do you know if it is or new fear index could provide insight into volatility in the bitcoin super bitcoin trust to sell on upstart bitcoin trust love hope to help thank you bitcoin wish list one bitcoin now worth high low market cap billion bitcoin here is bitcoin tip via claim it here ready for bitcoin join our mining pool today and earn btc together valley cryptocurrency one bitcoin now worth market cap billion based on bitcoin informative my daughter got book to draw a gift found this inside bitcoin btc bitcoin trust to sell on becomes first major bitcoin trading to implement signature my resolution is to find out what bitcoin is see the continued rise in crypto altruism in bitcoin,False,False,False,False,314.89,False,False,False,False,1.0,0.9887210730599549,324.3367,305.44329999999997,5.0,Neutral,Neutral,1,Neutral,0.9504692554473877
2015-01-01,cap billion based on bitcoin informative my daughter got book to draw a gift found this inside bitcoin btc bitcoin trust to sell on becomes first major bitcoin trading to implement signature my resolution is to find out what bitcoin is see the continued rise in crypto altruism in bitcoin gay men what is your new year contribution play or roll dice earn spy btc hack cobra bitcoin just up for free bitcoin wallet on try it now live what will bring for bitcoin and potential reversal in the making first and btc bitcoin current price btc bitcoin current price btc bitcoin forget bitcoin forget or ripple or switch to today for just had to explain bitcoin to four year if that get an for to the elderly don know what will here is bitcoin tip via claim it here bitcoin block by been confirmed here is bitcoin tip via claim it here here is bitcoin tip via claim it here new bitcoin hour high of here is bitcoin tip via claim it here pal bitcoin is worth via wish master potion we take bitcoin venture capital for bitcoin in venture capital for bitcoin on why the real promise of,False,False,False,False,314.89,False,False,False,False,1.0,0.9887210730599549,324.3367,305.44329999999997,5.0,Neutral,Neutral,3,Neutral,0.9474326968193054
2015-01-01,claim it here here is bitcoin tip via claim it here new bitcoin hour high of here is bitcoin tip via claim it here pal bitcoin is worth via wish master potion we take bitcoin venture capital for bitcoin in venture capital for bitcoin on why the real promise of bitcoin come from bitcoin btc current price of bitcoin is bitcoin bitcoin quick via venture capital for bitcoin in venture capital for bitcoin answer to the fear index will soon arrive in the top bitcoin bitcoin to of for topping poll of bitcoin people in la belle via the year in bitcoin in two bitcoin mobile and political touch of sarcasm bitcoin for parking live profit buy sell bitcoin btc is peer to peer open source cryptocurrency since it becomes first major bitcoin trading to implement signature cryptocurrency news happy from the follow the coin team courtesy of boost here is bitcoin tip via claim it here is going to be year of radical change and disruption bitcoin casino play now over btc in poker more super possible bitcoin ban could effect for other international sell your bitcoin btc before crash protect your digital asset by switching to don even,False,False,False,False,314.89,False,False,False,False,1.0,0.9887210730599549,324.3367,305.44329999999997,5.0,Neutral,Neutral,1,Neutral,0.9484511017799377
2015-01-01,is bitcoin tip via claim it here is going to be year of radical change and disruption bitcoin casino play now over btc in poker more super possible bitcoin ban could effect for other international sell your bitcoin btc before crash protect your digital asset by switching to don even bother with josh gaw site in response to expose on fraud my down notch central bank could one day use digital currency chief top po top po about acne that are actually true video did read that are working with bitcoin for ticket btc crypto ltc happy new eve is take over the cryptocurrency world in bitcoin come see our team and at the world of bitcoin in la next week the bitcoin trust to sell the will trade on the under the symbol coin our next winner is who and is now in bitcoin from how easy right see you in bitcoin market index market index by bitcoin de forum bitcoin apple pay a to pay parking bitcoin price at year end donate bitcoin help bitcoin network the simple guide to running full node via bitcoin current price of bitcoin is bitcoin wa world worst currency in magazine bitcoin,False,False,False,False,314.89,False,False,False,False,1.0,0.9887210730599549,324.3367,305.44329999999997,5.0,Neutral,Neutral,4,Neutral,0.9456821084022522
2015-01-01,last day fighting vile bitcoin extortionist disease forced to spend his last day fighting vile bitcoin extortionist disease forced to spend his last day fighting vile bitcoin extortionist direct link tweet pic gone jack this bitcoin accepted had great pic bitcoin wait for it the ending is interesting it related to our current economic situation how could possible bitcoin ban effect for other and multiply multiple you expect your have bitcoin any currency is poker yes ending on good note poker bitcoin one bitcoin now worth market cap billion based on bitcoin current price btc bitcoin bitcoin hope the cryptocurrency booming bitcoin btc btc bitcoin bitcoin hope the cryptocurrency booming bitcoin la btc price current btc price on is volume btc bitcoin bitcoin hope the cryptocurrency booming bitcoin bitcoin em here is bitcoin tip via claim it here bitcoin help bitcoin network the simple guide to running full node by see more bitcoin wishing everyone safe lucrative bitcoin exhaustive list of bitcoin bitcoin hope the cryptocurrency booming top bitcoin in doe anyone know how to and into bitcoin new fear index could provide insight into volatility in the bitcoin transfer your bitcoin to your visa master bank card the year,False,False,False,False,314.89,False,False,False,False,1.0,0.9887210730599549,324.3367,305.44329999999997,5.0,Neutral,Neutral,1,Neutral,0.9491943717002869
2015-01-01,see more bitcoin wishing everyone safe lucrative bitcoin exhaustive list of bitcoin bitcoin hope the cryptocurrency booming top bitcoin in doe anyone know how to and into bitcoin new fear index could provide insight into volatility in the bitcoin transfer your bitcoin to your visa master bank card the year in bitcoin in two the year in bitcoin in two blo the bitcoin in sight according to via bitcoin hope the cryptocurrency booming actually for them cash in big btc holding jarring exchange wa game changer for bitcoin mining bitcoin price review video welcome to the new bitcoin price review channel not new fear index could provide insight into volatility in the bitcoin bitcoin one more step forward night bitcoin new bitcoin exchange lazy about security bitcoin revolution bitcoin you could still win in bitcoin today just by the is considering apple pay and bitcoin a to pay parking take invest in not in bitcoin or tech bitcoin casino play now over btc in poker more super bitcoin taking closer look at the major that affected the price of bitcoin throughout and both are edible remember if you miss out on shake shack there always the bitcoin thingy bitcoin quick,False,False,False,False,314.89,False,False,False,False,1.0,0.9887210730599549,324.3367,305.44329999999997,5.0,Neutral,Neutral,2,Neutral,0.9526500105857849
